"";"Chlopi_czesc_pierwsza_Jesien";"Faraon_tom_I";"Glebia__Tom_1_-_Skokowiec";"Glebia__Tom_2__Powrot";"Glebia__Tom_3__Napor";"Glebia__Tom_4__Bezkres";"Goraczka_Ciboli";"Iliada";"Jak_to_wyjasnic_W_poszukiwaniu_odpowiedzi_na_pytania_ktore_pozornie_nie_maja_odpowiedzi.";"Kwantechizm_2.0_czyli_klatka_na_ludzi";"Lalka_tom_I";"Nad_Niemnem_tom_I";"Odyseja";"Pi_razy_drzwi_czyli_dziwne_przypadki_matematyki";"Po_co_czlowiekowi_czas";"Przebudzenie_Lewiatana";"Rozmyslania";"Wojna_Kalibana";"Wrota_Abaddona";"Wyprawa_Cyrusa"
"angel";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"angeles";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"angielski";0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0
"anglii";0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0
"anglik";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"anihilowaä‡";0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
"aniĺľeli";0;7;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0
"anima";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"animowany";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"anioĺ‚";2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"anioĺ‚ek";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"anna";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"annä™";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"annie";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"ano";8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"anomalia";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0
"answer";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"antarktyce";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"antarktydzie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"antarktyki";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"antek";12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"antenat";0;0;0;0;16;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"antifos";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"antinoj";0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
"antinoju";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"antkowie";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"antoni";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"antonin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"antropolog";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
"antycypujä…c";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"antyczä…stka";0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
"antyczny";0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
"antygonä™";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"antygrawitacyjnego";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"antygrawitonach";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"antygrawitonăłw";0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"antygrawitony";0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"antyk";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
"antykoncepcyjny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"antylopy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
