"";"Chlopi_czesc_pierwsza_Jesien";"Faraon_tom_I";"Glebia__Tom_1_-_Skokowiec";"Glebia__Tom_2__Powrot";"Glebia__Tom_3__Napor";"Glebia__Tom_4__Bezkres";"Goraczka_Ciboli";"Iliada";"Jak_to_wyjasnic_W_poszukiwaniu_odpowiedzi_na_pytania_ktore_pozornie_nie_maja_odpowiedzi.";"Kwantechizm_2.0_czyli_klatka_na_ludzi";"Lalka_tom_I";"Nad_Niemnem_tom_I";"Odyseja";"Pi_razy_drzwi_czyli_dziwne_przypadki_matematyki";"Po_co_czlowiekowi_czas";"Przebudzenie_Lewiatana";"Rozmyslania";"Wojna_Kalibana";"Wrota_Abaddona";"Wyprawa_Cyrusa"
"basowy";0;0;0;0,00081471161224118;0;0;0,00264607190300554;0;0;0;0;0,0025543763420103;0;0;0;0;0;0;0,000775268145204461;0
"bawić";0,000353118395878563;0;0,000218295882243158;0;0,000232505939673128;0;0;0,000475871651413683;0;0;0,000235948510533892;0,000170926396244849;0,000354730808645131;0,000331991654244802;6,68986411998138e-05;0,000235680082194262;0,000151582530913724;0;0,00041501727996412;0,000513202623242172
"beczka";0,00113636363636364;0,000772797527047913;0;0;0;0;0,0125356125356125;0;0;0;0,00227790432801822;0,0011001100110011;0;0;0;0;0;0;0;0
"będąc";0;0,000510791381332057;0,000928646361002713;0;0;0;0;0;0;0,00070578115050046;0;0;0;0,000706158170345813;0,000426887436454477;0,000501299998061192;0,000322421486557893;0;0,000441378328843861;0
"będąca";0;0;0,00096135075313179;0,000960338804970599;0;0;0;0;0;0;0;0;0;0,000731027135193965;0;0;0;0;0;0
"będę";0,000292371120925999;0;0,000180742245461805;0,000180551990466582;0,000770030935772178;0,00049030316610744;0;0,000197003511803123;0;0,00137366036526898;0;0,000424565324116962;0,000293706148875433;0,000137439415819914;0,000221560031358346;0,000195135825874008;0;0,000172386322556033;0,00017181074218022;0
"będziecie";0,000986912269412617;0;0;0;0;0;0;0,000664994484749696;0,000289735712121135;0;0,000659440240761658;0;0;0,000927866236199897;0;0;0;0;0,000579955123260837;0
"będziemy";0;0,00028476259434552;0,000258856899953005;0,000258584419005686;0,000275707292991473;0,000351103189216868;0,0020996170773966;0;0,000491720162913232;0,000786936032211646;0;0,000202685806976404;0;0;7,93289121815077e-05;0,00083841364524028;0;0;0,000492130613800472;0
"będziesz";0;0,00133539771264882;0,000404637545994046;0;0,000861955176539506;0;0;0,000882085063893606;0;0;0,000874717610816287;0,000633665067901568;0;0;0;0,000436861241351934;0,00309074000680379;0,00115779205371362;0;0
"bestia";0;0;0;0;0,000868659968158385;0;0;0;0,000387310774793555;0;0,000881521676115172;0;0;0;0;0;0;0;0,00155053629040892;0
"bezcelowy";0;0;0;0;0,00102393026343667;0;0;0;0;0;0;0;0;0,000731027135193965;0;0;0,000667552583942977;0;0;0
"bezkres";0;0;0;0,000960338804970599;0,00102393026343667;0,00521575148959734;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bezmyślny";0,00155509408759444;0;0;0;0;0;0;0;0;0;0,00103909096209803;0;0;0;0;0;0,000667552583942977;0;0;0
"bezpieczeństwo";0;0;0,00140498770635757;0;0;0;0;0;0;0;0;0;0;0,000534188034188034;0;0,000758437618505878;0;0,00134003350083752;0,00200333889816361;0
"bezpieczny";0;0,00066653514393359;0,00121179694590806;0,000605260685087765;0,000322669837729168;0,000821816556693726;0;0,00099061616720911;0,00014386930379484;0;0;0;0;0;0,000278524158100129;0;0;0,0005778870862647;0,0002879787900668;0,000356109197460803
"bezpośredni";0;0;0;0;0;0;0;0;0,0015158363698046;0,000808634902738792;0;0,000416549277455929;0;0,000809066865827862;0,000326065268639345;0;0,000369408090934087;0;0;0,000625339873174962
"bezpowrotny";0;0;0;0;0;0,00130393787239934;0;0;0;0,00146127367547582;0;0;0;0,000731027135193965;0;0;0;0;0;0
"bezradny";0,00155509408759444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000667552583942977;0,000916906396705597;0;0
"bezruch";0;0;0;0;0,00102393026343667;0,00130393787239934;0;0;0;0;0;0;0;0;0;0;0;0;0,000913844939621438;0
"bezwzględny";0;0;0;0;0,00102393026343667;0;0;0;0;0;0;0;0;0;0;0;0,000667552583942977;0,000916906396705597;0;0
"biała";0,00375547754229364;0,000510791381332057;0,000928646361002713;0;0,000494548482935788;0;0;0,000506098045515836;0;0;0,000501870954778801;0,0032720992447707;0;0;0;0;0;0;0,000441378328843861;0
"białe";0,00176559197939281;0,000720427020957809;0;0;0,000232505939673128;0;0;0,000237935825706842;0,000414671143784;0;0,000471897021067783;0,000341852792489698;0,000709461617290263;0,000165995827122401;6,68986411998138e-05;0,000235680082194262;0;0,000416407622610566;0,00020750863998206;0
"białka";0,00155509408759444;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00471382664226688;0;0;0,00183381279341119;0;0
"białkowy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00088384249542504;0,00103790883358597;0;0;0,000913844939621438;0
"biały";0,000490054816051173;0,00166633785983397;0,0018176954188621;0,000302630342543882;0;0;0,000982901967236541;0;0,00014386930379484;0;0,000327447409358415;0,00166047176395777;0;0;0,000185682772066752;0,000327074886708405;0,000210364994207333;0;0;0
"biblioteka";0;0;0,00096135075313179;0,000960338804970599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00339013079376491
"bić";0,000751095508458729;0;0;0;0;0;0;0,00202439218206334;0;0;0,000501870954778801;0,0003635665827523;0,000754525168314705;0;0,000711479060757461;0,00100259999612238;0;0;0,000441378328843861;0
"bicie";0,000986912269412617;0;0;0;0;0;0,00098972398527989;0;0;0;0;0,000477713309726679;0;0;0,000373943077323188;0,000658690024333032;0;0,000581898021496217;0;0
"biedny";0,000568181818181818;0,000386398763523957;0;0,000350877192982456;0;0;0;0,000382848392036753;0,000166805671392827;0,000533902829684997;0;0,00165016501650165;0,000570776255707763;0;0,000107642626480086;0,000758437618505878;0;0;0;0
"bieg";0;0,00117045840249595;0;0;0;0;0;0,000579851903839877;0;0;0;0,000416549277455929;0;0,000404533432913931;0,000815163171598363;0;0;0;0,000505700558540821;0,000625339873174962
"biegać";0;0,00105756012139343;0;0;0;0;0;0;0;0;0,00207818192419606;0;0;0;0,00029461416514168;0;0;0;0;0
"biegiem";0,00113636363636364;0,00154559505409583;0;0;0;0;0;0;0;0;0,000759301442672741;0;0;0;0,000430570505920344;0;0;0,000670016750418761;0;0
"biegł";0,00172110587821563;0,000585229201247975;0;0,000531429183449038;0;0,000721568924644954;0,000863004656883053;0;0;0;0,00115001759516307;0;0;0;0,000163032634319673;0;0;0;0;0
"biegnąć";0;0,000585229201247975;0,000531989172051197;0;0;0;0,000863004656883053;0;0;0;0;0,000416549277455929;0;0,000809066865827862;0,000815163171598363;0;0;0,00152218409329624;0;0
"biegun";0;0;0;0;0;0;0;0;0,00273924830108378;0;0;0;0;0,000731027135193965;0,00029461416514168;0;0;0;0;0
"biesiada";0;0;0;0;0;0;0;0,00104784287678645;0;0;0;0;0,00468658492151748;0;0;0;0;0;0;0,00113004359792164
"bieżący";0;0;0;0,000960338804970599;0;0;0;0;0;0;0;0;0;0;0,00058922833028336;0,00103790883358597;0;0;0;0
"bieży";0,00155509408759444;0;0;0;0;0;0;0,00104784287678645;0;0;0;0,000752740812476954;0;0;0;0;0;0;0;0
"biodro";0,00131927732664055;0,00179438028971203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000777865358421227;0,000775268145204461;0
"biologiczny";0;0;0,000815570107090749;0;0,00347463987263354;0,00110620681033224;0;0;0;0;0;0;0;0;0,00199950750905263;0;0;0;0;0
"biorąc";0;0,000445132570882941;0,000404637545994046;0,000404211611735105;0,000430977588269753;0;0;0;0,00134512454614101;0,000615057711396183;0;0;0;0;0,000248009277383219;0,000873722482703868;0;0;0,00115392630395164;0
"biskup";0,00155509408759444;0;0;0;0;0;0;0;0;0,00146127367547582;0;0;0;0;0,00029461416514168;0;0;0;0;0
"bitwa";0;0,00134232271573895;0;0;0;0;0;0,00199498345424909;0,000869207136363406;0;0;0;0,000991418718131396;0;0;0;0;0;0,000579955123260837;0,00502013177504684
"biurko";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00029461416514168;0,00207581766717194;0;0;0,000913844939621438;0
"biuro";0;0;0;0;0;0;0;0;0,000387310774793555;0;0,00264456502834551;0;0;0;0,00374907657947367;0,00176103761462826;0;0;0;0
"błąd";0;0;0;0,00121263483520532;0;0,000548834251283969;0;0,000441042531946803;0,000192160649448716;0;0;0;0;0,000923079401798918;0,000248009277383219;0,000436861241351934;0,0028097636425489;0;0,000769284202634424;0
"blady";0,00113636363636364;0,000386398763523957;0,000351246926589392;0;0,000374111485222596;0,0028585040495474;0;0;0;0;0;0,000825082508250825;0;0;0,000107642626480086;0;0;0,00033500837520938;0,000667779632721202;0,000825763831544178
"błądzić";0,00113636363636364;0;0;0;0,000748222970445193;0;0;0,000765696784073507;0;0;0;0;0,00114155251141553;0;0;0;0,00195121951219512;0;0;0
"błagać";0;0,000585229201247975;0;0,000531429183449038;0;0;0;0,000579851903839877;0;0;0;0;0,00172896480916639;0;0;0,000574354635126947;0,000369408090934087;0,000507394697765413;0;0
