"";"Chlopi_czesc_pierwsza_Jesien";"Faraon_tom_I";"Glebia__Tom_1_-_Skokowiec";"Glebia__Tom_2__Powrot";"Glebia__Tom_3__Napor";"Glebia__Tom_4__Bezkres";"Goraczka_Ciboli";"Iliada";"Jak_to_wyjasnic_W_poszukiwaniu_odpowiedzi_na_pytania_ktore_pozornie_nie_maja_odpowiedzi.";"Kwantechizm_2.0_czyli_klatka_na_ludzi";"Lalka_tom_I";"Nad_Niemnem_tom_I";"Odyseja";"Pi_razy_drzwi_czyli_dziwne_przypadki_matematyki";"Po_co_czlowiekowi_czas";"Przebudzenie_Lewiatana";"Rozmyslania";"Wojna_Kalibana";"Wrota_Abaddona";"Wyprawa_Cyrusa"
"białka";1;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;2;0;0
"białkowy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;0
"białowłosy";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"biały";1;5;6;1;0;0;2;0;1;0;1;7;0;0;2;1;1;0;0;0
"biblioteka";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"bić";1;0;0;0;0;0;0;4;0;0;1;1;1;0;5;2;0;0;1;0
"bicie";1;0;0;0;0;0;1;0;0;0;0;1;0;0;2;1;0;1;0;0
"biec";0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"bieda";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0
"biedak";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"biedaka";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"biedny";1;1;0;1;0;0;0;1;1;1;0;6;1;0;1;2;0;0;0;0
"bieg";0;2;0;0;0;0;0;1;0;0;0;1;0;1;5;0;0;0;1;1
"biegać";0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0
"biegiem";1;2;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0
"biegł";2;1;0;1;0;1;1;0;0;0;2;0;0;0;1;0;0;0;0;0
"biegła";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"biegłość";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"biegły";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
